,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
50,51.0,17538.0,1098.0,280.0,4751.0,63.0,76055.0,103.0,112.0,0.0,340.0,149.0,90.66666666666666,0.0,0.582323209397396,0.0129758066873367
51,52.0,17404.0,1025.0,232.0,4403.0,60.0,76663.0,95.0,118.0,6.0,354.0,116.0,96.19565217391305,0.31746031746031744,0.594485026265947,0.013631249402787
52,53.0,17267.0,966.0,223.0,4091.0,48.0,77197.0,90.0,118.0,0.0,291.0,121.0,88.71951219512195,0.32786885245901637,0.589059534022812,0.014097336612108
53,54.0,17160.0,860.0,175.0,3807.0,48.0,77747.0,83.0,120.0,2.0,284.0,90.0,92.50814332247556,0.0,0.596032637232024,0.0147224661502725
54,55.0,17084.0,760.0,161.0,3495.0,41.0,78261.0,77.0,121.0,1.0,263.0,69.0,90.6896551724138,0.3558718861209964,0.60694509400156,0.0154213962506408
55,56.0,16979.0,697.0,149.0,3213.0,38.0,78731.0,68.0,125.0,4.0,263.0,96.0,92.28070175438596,0.423728813559322,0.606388487238542,0.0159908483357678
56,57.0,16889.0,626.0,141.0,2944.0,37.0,79175.0,62.0,126.0,1.0,218.0,78.0,92.76595744680851,0.42016806722689076,0.586891056883146,0.016308822556076
57,58.0,16806.0,566.0,138.0,2709.0,34.0,79560.0,59.0,128.0,2.0,228.0,76.0,91.56626506024097,0.8888888888888888,0.5875273026572,0.0169182095310846
58,59.0,16725.0,526.0,132.0,2548.0,32.0,79851.0,57.0,129.0,1.0,198.0,75.0,92.09302325581396,0.0,0.576485360222174,0.0173895937670643
59,60.0,16650.0,478.0,124.0,2376.0,29.0,80160.0,53.0,130.0,1.0,184.0,61.0,91.54228855721394,0.0,0.568188873394981,0.0179229582848773
60,61.0,16590.0,431.0,108.0,2185.0,27.0,80479.0,47.0,133.0,3.0,194.0,51.0,91.07981220657275,1.6483516483516485,0.552962877046735,0.018370961086705
61,62.0,16535.0,404.0,106.0,2017.0,25.0,80734.0,45.0,134.0,1.0,152.0,44.0,87.86127167630057,0.0,0.52747077040716,0.0186605744375764
62,63.0,16493.0,370.0,81.0,1876.0,23.0,80979.0,44.0,134.0,0.0,120.0,37.0,91.6030534351145,0.0,0.534318797083503,0.0195628010830632
63,64.0,16444.0,318.0,85.0,1743.0,21.0,81208.0,46.0,135.0,1.0,129.0,42.0,91.48936170212764,0.0,0.541011944123808,0.02053653255967
64,65.0,16407.0,305.0,68.0,1601.0,20.0,81419.0,44.0,136.0,1.0,121.0,31.0,94.53125,0.0,0.53225741160158,0.0212563135270552
65,66.0,16370.0,277.0,66.0,1459.0,19.0,81631.0,41.0,137.0,1.0,104.0,30.0,89.65517241379311,0.0,0.523244605858311,0.0219936112454971
66,67.0,16349.0,248.0,49.0,1332.0,15.0,81830.0,38.0,139.0,2.0,85.0,19.0,92.3913043478261,0.0,0.527165919161834,0.0230513561782238
